_id,REPORT_NAME,SECTION,DESCRIPTION,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE
20885,OFFENSE 2.0,4120,Identity Theft,2015-03-10T00:01:00,1400 block Centre Ave,Golden Triangle/Civic Arena,2
20847,OFFENSE 2.0,9488,False  Burglar Alarm,2015-03-10T00:54:00,500 block N Taylor Ave,Central Northside,1
20995,OFFENSE 2.0,29,Missing Juvenile,2015-03-10T00:56:00,7600 block Kelly St,Homewood South,5
20938,ARREST,3503,Criminal Trespass,2015-03-10T01:30:00,200 block Atwood St,Central Oakland,4
20958,ARREST,3929(a)(1),Retail Theft; takes possession of  carries away  or transfers displayed merchandise,2015-03-10T01:30:00,200 block Atwood St,Central Oakland,4
20959,ARREST,5505,Public Drunkenness,2015-03-10T01:30:00,200 block Atwood St,Central Oakland,4
20848,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-03-10T01:38:00,2900 block N Charles St,Perry South,1
20849,OFFENSE 2.0,9488,False  Burglar Alarm,2015-03-10T01:41:00,1900 block Clayton Ave,Perry South,1
20908,OFFENSE 2.0,3802(a)(1),DUI - General Impairment,2015-03-10T01:46:00,Hays Ave & Brownsville Rd,Beltzhoover,3
20909,OFFENSE 2.0,4706,Prohib. on Expend. for Emission Insp Prog..,2015-03-10T01:46:00,Hays Ave & Brownsville Rd,Beltzhoover,3
20910,OFFENSE 2.0,4703,Operation of Vehicle without Official Certif. of Inspection,2015-03-10T01:46:00,Hays Ave & Brownsville Rd,Beltzhoover,3
20911,OFFENSE 2.0,3802(d)(2),DUI - Drug - Impaired Ability,2015-03-10T01:46:00,Hays Ave & Brownsville Rd,Beltzhoover,3
20912,ARREST,4706,Prohib. on Expend. for Emission Insp Prog..,2015-03-10T01:53:00,Hays Ave & Brownsville Rd,Beltzhoover,3
20913,ARREST,4703,Operation of Vehicle without Official Certif. of Inspection,2015-03-10T01:53:00,Hays Ave & Brownsville Rd,Beltzhoover,3
20915,ARREST,3802(d)(2),DUI - Drug - Impaired Ability,2015-03-10T01:53:00,Hays Ave & Brownsville Rd,Beltzhoover,3
20916,ARREST,3802(a)(1),DUI - General Impairment,2015-03-10T01:53:00,Hays Ave & Brownsville Rd,Beltzhoover,3
20850,OFFENSE 2.0,5505,Public Drunkenness,2015-03-10T01:57:00,1200 block Woods Run Ave,Brighton Heights,1
