intptlat10,intptlon10,hood,hood_no,acres,sqmiles
40.4403871,-79.9813476,Crawford-Roberts,24,166.101,0.258
40.43201,-80.0530374,Westwood,89,445.009,0.692
40.419736,-79.9991617,Beltzhoover,9,270.374,0.421
40.4521925,-79.8817225,East Hills,28,348.077,0.541
40.4730821,-79.9488759,Central Lawrenceville,18,619.199,0.963
40.4515765,-80.0053403,Allegheny Center,1,134.703,0.21
40.4369004,-79.9903987,Bluff,11,210.51,0.327
40.487579,-79.8907469,Lincoln-Lemington-Belmar,47,180.105,0.28
40.4216327,-79.9353993,Greenfield,37,497.028,0.773
40.4847864,-79.9385823,Stanton Heights,79,472.615,0.735
40.4597668,-80.07783,Windgap,90,266.678,0.415
40.4420424,-79.906331,Point Breeze,63,645.695,1.004
40.4672423,-79.94337,Garfield,35,294.077,0.457
40.4818107,-79.9477736,Upper Lawrenceville,86,260.349,0.405
40.4799173,-79.9300799,Morningside,52,245.637,0.382
40.4127817,-80.0357088,Banksville,6,622.919,0.969
40.449658,-79.9981098,North Shore,57,195.014,0.303
40.4366295,-80.0102703,South Shore,71,136.201,0.212
40.4109357,-79.9931744,Knoxville,44,193.982,0.302
40.4510923,-79.9473004,Shadyside,68,592.104,0.921
40.449631,-80.0569283,Crafton Heights,23,484.575,0.754
40.3745282,-79.9191876,Lincoln Place,46,632.497,0.984
40.4518148,-80.0280506,Chateau,22,246.501,0.383
40.4416579,-79.9764621,Terrace Village,83,219.783,0.342
40.3937604,-79.9499181,Hays,38,1125.478,1.75
40.4523867,-79.9073195,Point Breeze North,64,183.781,0.286
40.4120501,-79.9841274,Mount Oliver Borough,0,218.225,0.339
40.449689,-79.8859784,Homewood South,42,256.093,0.398
40.4269246,-80.0658036,Oakwood,59,162.015,0.252
40.4569713,-79.9050701,Homewood West,43,127.819,0.199
40.3879201,-79.9225537,New Homestead,55,510.728,0.794
40.4459724,-79.9776953,Middle Hill,51,196.108,0.305
40.4507815,-80.0847808,Fairywood,32,622.746,0.969
40.4270691,-80.0344802,Ridgemont,67,237.059,0.369
40.4617308,-79.9522528,Bloomfield,10,451.405,0.702
40.4632158,-79.994168,Spring Hill-City View,75,404.765,0.63
40.4733966,-80.0097343,Perry South,62,581.656,0.905
40.4922173,-80.0081121,Summer Hill,81,282.104,0.439
40.4776383,-80.0025945,Northview Heights,58,201.558,0.313
40.4600565,-79.9915198,Spring Garden,74,176.506,0.275
40.4818975,-80.01087,Perry North,61,779.088,1.212
40.464157,-80.0039415,Fineview,33,160.488,0.25
40.4584905,-80.0120067,Central Northside,19,166.475,0.259
40.4507843,-80.0144032,Allegheny West,2,90.841,0.141
40.4611811,-79.9859947,Troy Hill,84,247.17,0.384
40.4572599,-79.9976543,East Allegheny,26,151.705,0.236
40.4578695,-80.0264589,Manchester,49,179.566,0.279
40.4865869,-80.0297229,Brighton Heights,13,718.262,1.117
40.4659231,-80.0458881,Marshall-Shadeland,50,148.209,0.231
40.4599421,-80.0218657,California-Kirkbride,15,139.552,0.217
40.4247086,-80.0011285,Mount Washington,54,732.495,1.139
40.4386014,-80.0260996,Duquesne Heights,25,400.468,0.623
40.4400199,-80.0409711,Elliott,30,389.87,0.606
40.4202222,-80.0745718,East Carnegie,27,277.895,0.432
40.4580322,-80.0647449,Sheraden,69,572.125,0.89
40.4191918,-79.9927314,Allentown,3,189.608,0.295
40.4627464,-80.0508428,Esplen,31,147.829,0.23
40.4578183,-80.0705756,Chartiers City,21,84.954,0.132
40.440883,-80.0357065,West End,87,128.679,0.2
40.4302576,-79.9922422,South Side Flats,72,601.553,0.936
40.4249025,-79.9876098,South Side Slopes,73,460.632,0.716
40.384419,-79.9867635,Carrick,16,1075.67,1.673
40.4126628,-80.0211465,Beechview,8,938.804,1.46
40.41688,-79.9615214,Arlington Heights,5,84.592,0.132
40.4043578,-80.0109294,Brookline,14,1338.669,2.082
40.407725,-80.0012233,Bon Air,12,201.53,0.313
40.4196414,-79.9075532,Swisshelm Park,82,308.575,0.48
40.4138332,-79.96327,Arlington,4,302.32,0.47
40.4088032,-79.9721874,St. Clair,78,199.285,0.31
40.410874,-79.9793742,Mt. Oliver,53,66.226,0.103
40.3911959,-79.9952543,Overbrook,60,539.515,0.839
40.4427301,-79.9435821,Squirrel Hill North,76,785.948,1.222
40.4594767,-79.8955903,Homewood North,41,279.14,0.434
40.4096285,-79.9486102,Hazelwood,39,1017.805,1.583
40.4328896,-79.8976172,Regent Square,66,123.682,0.192
40.4266034,-79.9185733,Squirrel Hill South,77,1717.485,2.671
40.4592964,-79.9351049,Friendship,34,68.297,0.106
40.4050484,-79.9308344,Glen Hazel,36,293.197,0.456
40.4780209,-79.9195862,Highland Park,40,747.691,1.163
40.4633748,-79.9087841,Larimer,45,286.16,0.445
40.4612717,-79.9187769,East Liberty,29,373.65,0.581
40.4544996,-79.9812762,Strip District,80,390.864,0.608
40.4406777,-79.9892121,Central Business District,17,411.593,0.64
40.4621267,-79.9609234,Lower Lawrenceville,48,276.392,0.43
40.4406805,-79.9542332,Central Oakland,20,180.883,0.281
40.4458408,-79.9483932,North Oakland,56,320.679,0.499
40.4412437,-79.9626107,West Oakland,88,138.372,0.215
40.4308074,-79.9518013,South Oakland,70,326.793,0.508
40.458604,-79.9613007,Polish Hill,65,163.677,0.255
40.4512373,-79.9745804,Bedford Dwellings,7,115.252,0.179
40.450723,-79.9591365,Upper Hill,85,201.167,0.313
